Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,6656,779,"",03001a0b03
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"26",1a
4,UNKNOWN,0,0,"11",0b
5,LINEAR_MOVE,6656,779,"",03001a0b03
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"26",1a
8,UNKNOWN,0,0,"11",0b
9,LINEAR_MOVE,6656,779,"",03001a0b03
10,UNKNOWN,0,0,"0",00
11,UNKNOWN,0,0,"26",1a
12,UNKNOWN,0,0,"11",0b
13,LINEAR_MOVE,6656,779,"",03001a0b03
14,UNKNOWN,0,0,"0",00
15,UNKNOWN,0,0,"26",1a
16,UNKNOWN,0,0,"11",0b
17,LINEAR_MOVE,6656,779,"",03001a0b03
18,UNKNOWN,0,0,"0",00
19,UNKNOWN,0,0,"26",1a
20,UNKNOWN,0,0,"11",0b
21,SEPARATOR,0,0,"0,0,0",01000000
22,UNKNOWN,0,0,"65",41
23,UNKNOWN,0,0,"0",00
24,UNKNOWN,0,0,"30",1e
25,UNKNOWN,0,0,"0",00
26,UNKNOWN,0,0,"65",41
27,UNKNOWN,0,0,"0",00
28,UNKNOWN,0,0,"30",1e
29,UNKNOWN,0,0,"0",00
30,UNKNOWN,0,0,"65",41
31,UNKNOWN,0,0,"0",00
32,UNKNOWN,0,0,"30",1e
33,UNKNOWN,0,0,"0",00
34,POINT,0,157,"",61009d00
35,POINT,0,157,"",61009d00
36,POINT,0,157,"",61009d00
37,POINT,0,157,"",61009d00
38,POINT,0,157,"",61009d00
39,POINT,0,157,"",61009d00
40,POINT,0,157,"",61009d00
41,POINT,0,158,"",61009e00
42,POINT,0,157,"",61009d00
43,POINT,0,157,"",61009d00
44,POINT,0,157,"",61009d00
45,POINT,0,157,"",61009d00
46,POINT,0,157,"",61009d00
47,POINT,0,157,"",61009d00
48,POINT,0,157,"",61009d00
49,POINT,0,158,"",61009e00
50,POINT,0,157,"",61009d00
51,POINT,0,157,"",61009d00
52,POINT,0,157,"",61009d00
53,POINT,0,157,"",61009d00
54,POINT,0,157,"",61009d00
55,POINT,0,157,"",61009d00
56,POINT,0,158,"",61009e00
57,POINT,0,33053,"",61001d81
58,POINT,0,33309,"",61001d82
59,POINT,0,33309,"",61001d82
60,POINT,0,33309,"",61001d82
61,POINT,0,33309,"",61001d82
62,POINT,0,33309,"",61001d82
63,POINT,0,33309,"",61001d82
64,POINT,0,33054,"",61001e81
65,POINT,0,33309,"",61001d82
66,POINT,0,33309,"",61001d82
67,POINT,0,33309,"",61001d82
68,POINT,0,33309,"",61001d82
69,POINT,0,33309,"",61001d82
70,POINT,0,33309,"",61001d82
71,POINT,0,33309,"",61001d82
72,POINT,0,33054,"",61001e81
73,POINT,0,33309,"",61001d82
74,POINT,0,33309,"",61001d82
75,POINT,0,33309,"",61001d82
76,POINT,0,33309,"",61001d82
77,POINT,0,33309,"",61001d82
78,POINT,0,33309,"",61001d82
79,POINT,0,33310,"",61001e82
80,POINT,0,33181,"",61009d81
81,POINT,0,33437,"",61009d82
82,POINT,0,33437,"",61009d82
83,POINT,0,33437,"",61009d82
84,POINT,0,33437,"",61009d82
85,POINT,0,33437,"",61009d82
86,POINT,0,33437,"",61009d82
87,POINT,0,33182,"",61009e81
88,POINT,0,33437,"",61009d82
89,POINT,0,33437,"",61009d82
90,POINT,0,33437,"",61009d82
91,POINT,0,33437,"",61009d82
92,POINT,0,33437,"",61009d82
93,POINT,0,33437,"",61009d82
94,POINT,0,33437,"",61009d82
95,POINT,0,33182,"",61009e81
96,POINT,0,33437,"",61009d82
97,POINT,0,33437,"",61009d82
98,POINT,0,33437,"",61009d82
99,POINT,0,33437,"",61009d82
100,POINT,0,33437,"",61009d82
101,POINT,0,33437,"",61009d82
102,POINT,0,33438,"",61009e82
103,POINT,0,33053,"",61001d81
104,POINT,0,33309,"",61001d82
105,POINT,0,33309,"",61001d82
106,POINT,0,33309,"",61001d82
107,POINT,0,33309,"",61001d82
108,POINT,0,33309,"",61001d82
109,POINT,0,33309,"",61001d82
110,POINT,0,33054,"",61001e81
111,POINT,0,33309,"",61001d82
112,POINT,0,33309,"",61001d82
113,POINT,0,33309,"",61001d82
114,POINT,0,33309,"",61001d82
115,POINT,0,33309,"",61001d82
116,POINT,0,33309,"",61001d82
117,POINT,0,33309,"",61001d82
118,POINT,0,33054,"",61001e81
119,POINT,0,33309,"",61001d82
120,POINT,0,33309,"",61001d82
121,POINT,0,33309,"",61001d82
122,POINT,0,33309,"",61001d82
123,POINT,0,33309,"",61001d82
124,POINT,0,33309,"",61001d82
125,POINT,0,33310,"",61001e82
126,POINT,0,33181,"",61009d81
127,POINT,0,33437,"",61009d82
128,POINT,0,33437,"",61009d82
129,POINT,0,33437,"",61009d82
130,POINT,0,33437,"",61009d82
131,POINT,0,33437,"",61009d82
132,POINT,0,33437,"",61009d82
133,POINT,0,33182,"",61009e81
134,POINT,0,33437,"",61009d82
135,POINT,0,33437,"",61009d82
136,POINT,0,33437,"",61009d82
137,POINT,0,33437,"",61009d82
138,POINT,0,33437,"",61009d82
139,POINT,0,33437,"",61009d82
140,POINT,0,33437,"",61009d82
141,POINT,0,33182,"",61009e81
142,POINT,0,33437,"",61009d82
143,POINT,0,33437,"",61009d82
144,POINT,0,33437,"",61009d82
145,POINT,0,33437,"",61009d82
146,POINT,0,33437,"",61009d82
147,POINT,0,33437,"",61009d82
148,POINT,0,33438,"",61009e82
149,POINT,0,29,"",61001d00
150,POINT,0,29,"",61001d00
151,POINT,0,29,"",61001d00
152,POINT,0,29,"",61001d00
153,POINT,0,29,"",61001d00
154,POINT,0,29,"",61001d00
155,POINT,0,29,"",61001d00
156,POINT,0,30,"",61001e00
157,POINT,0,29,"",61001d00
158,POINT,0,29,"",61001d00
159,POINT,0,29,"",61001d00
160,POINT,0,29,"",61001d00
161,POINT,0,29,"",61001d00
162,POINT,0,29,"",61001d00
163,POINT,0,29,"",61001d00
164,POINT,0,30,"",61001e00
165,POINT,0,29,"",61001d00
166,POINT,0,29,"",61001d00
167,POINT,0,29,"",61001d00
168,POINT,0,29,"",61001d00
169,POINT,0,29,"",61001d00
170,POINT,0,29,"",61001d00
171,POINT,0,30,"",61001e00
172,POINT,0,158,"",61009e00
173,POINT,0,158,"",61009e00
174,POINT,0,158,"",61009e00
175,SPEED,0,0,"0,0,0",02000000
176,LINEAR_MOVE,39936,774,"",03009c0603
177,UNKNOWN,0,0,"0",00
178,UNKNOWN,0,0,"157",9d
179,UNKNOWN,0,0,"7",07
180,LINEAR_MOVE,40192,775,"",03009d0703
181,UNKNOWN,0,0,"0",00
182,UNKNOWN,0,0,"157",9d
183,UNKNOWN,0,0,"7",07
184,LINEAR_MOVE,40192,775,"",03009d0703
185,UNKNOWN,0,0,"0",00
