Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,6912,912,"",03001b9003
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"27",1b
4,UNKNOWN,0,0,"144",90
5,LINEAR_MOVE,6912,912,"",03001b9003
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"27",1b
8,UNKNOWN,0,0,"145",91
9,SEPARATOR,0,0,"0,0,0",01000000
10,UNKNOWN,0,0,"65",41
11,UNKNOWN,0,0,"0",00
12,UNKNOWN,0,0,"158",9e
13,UNKNOWN,0,0,"0",00
14,UNKNOWN,0,0,"65",41
15,UNKNOWN,0,0,"0",00
16,UNKNOWN,0,0,"158",9e
17,UNKNOWN,0,0,"0",00
18,UNKNOWN,0,0,"65",41
19,UNKNOWN,0,0,"0",00
20,UNKNOWN,0,0,"158",9e
21,UNKNOWN,0,0,"0",00
22,POINT,0,158,"",61009e00
23,POINT,0,158,"",61009e00
24,POINT,0,158,"",61009e00
25,POINT,0,158,"",61009e00
26,POINT,0,158,"",61009e00
27,POINT,0,158,"",61009e00
28,POINT,0,158,"",61009e00
29,POINT,0,158,"",61009e00
30,POINT,0,1308,"",61001c05
31,POINT,0,1564,"",61001c06
32,POINT,0,1308,"",61001c05
33,POINT,0,1564,"",61001c06
34,POINT,0,1309,"",61001d05
35,POINT,0,1564,"",61001c06
36,POINT,0,1564,"",61001c06
37,POINT,0,1308,"",61001c05
38,POINT,0,1565,"",61001d06
39,POINT,0,1308,"",61001c05
40,POINT,0,1564,"",61001c06
41,POINT,0,1564,"",61001c06
42,POINT,0,1309,"",61001d05
43,POINT,0,1564,"",61001c06
44,POINT,0,1308,"",61001c05
45,POINT,0,1564,"",61001c06
46,POINT,0,1565,"",61001d06
47,POINT,0,1436,"",61009c05
48,POINT,0,1692,"",61009c06
49,POINT,0,1436,"",61009c05
50,POINT,0,1692,"",61009c06
51,POINT,0,1437,"",61009d05
52,POINT,0,1692,"",61009c06
53,POINT,0,1692,"",61009c06
54,POINT,0,1436,"",61009c05
55,POINT,0,1693,"",61009d06
56,POINT,0,1436,"",61009c05
57,POINT,0,1692,"",61009c06
58,POINT,0,1692,"",61009c06
59,POINT,0,1437,"",61009d05
60,POINT,0,1692,"",61009c06
61,POINT,0,1436,"",61009c05
62,POINT,0,1692,"",61009c06
63,POINT,0,1693,"",61009d06
64,POINT,0,30,"",61001e00
65,POINT,0,30,"",61001e00
66,POINT,0,30,"",61001e00
67,POINT,0,30,"",61001e00
68,POINT,0,30,"",61001e00
69,POINT,0,30,"",61001e00
70,POINT,0,30,"",61001e00
71,POINT,0,30,"",61001e00
72,POINT,0,30,"",61001e00
73,POINT,0,30,"",61001e00
74,POINT,0,30,"",61001e00
75,POINT,0,30,"",61001e00
76,POINT,0,30,"",61001e00
77,POINT,0,30,"",61001e00
78,POINT,0,30,"",61001e00
79,POINT,0,30,"",61001e00
80,POINT,0,34204,"",61009c85
81,POINT,0,34460,"",61009c86
82,POINT,0,34204,"",61009c85
83,POINT,0,34460,"",61009c86
84,POINT,0,34205,"",61009d85
85,POINT,0,34460,"",61009c86
86,POINT,0,34460,"",61009c86
87,POINT,0,34204,"",61009c85
88,POINT,0,34461,"",61009d86
89,POINT,0,34204,"",61009c85
90,POINT,0,34460,"",61009c86
91,POINT,0,34460,"",61009c86
92,POINT,0,34205,"",61009d85
93,POINT,0,34460,"",61009c86
94,POINT,0,34204,"",61009c85
95,POINT,0,34460,"",61009c86
96,POINT,0,34461,"",61009d86
97,POINT,0,34076,"",61001c85
98,POINT,0,34332,"",61001c86
99,POINT,0,34076,"",61001c85
100,POINT,0,34332,"",61001c86
101,POINT,0,34077,"",61001d85
102,POINT,0,34332,"",61001c86
103,POINT,0,34332,"",61001c86
104,POINT,0,34076,"",61001c85
105,POINT,0,34333,"",61001d86
106,POINT,0,34076,"",61001c85
107,POINT,0,34332,"",61001c86
108,POINT,0,34332,"",61001c86
109,POINT,0,34077,"",61001d85
110,POINT,0,34332,"",61001c86
111,POINT,0,34076,"",61001c85
112,POINT,0,34332,"",61001c86
113,POINT,0,34333,"",61001d86
114,POINT,0,158,"",61009e00
115,POINT,0,158,"",61009e00
116,POINT,0,158,"",61009e00
117,POINT,0,158,"",61009e00
118,POINT,0,158,"",61009e00
119,POINT,0,158,"",61009e00
120,POINT,0,158,"",61009e00
121,POINT,0,158,"",61009e00
122,POINT,0,158,"",61009e00
123,POINT,0,158,"",61009e00
124,POINT,0,158,"",61009e00
125,POINT,0,158,"",61009e00
126,SPEED,0,0,"0,0,0",02000000
127,LINEAR_MOVE,6400,784,"",0300191003
128,UNKNOWN,0,0,"0",00
129,UNKNOWN,0,0,"26",1a
130,UNKNOWN,0,0,"16",10
131,LINEAR_MOVE,6400,784,"",0300191003
132,UNKNOWN,0,0,"0",00
133,UNKNOWN,0,0,"26",1a
134,UNKNOWN,0,0,"17",11
135,FUNCTION,0,0,"0,0,0",1f000000
