Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,4608,913,"",0300129103
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"18",12
4,UNKNOWN,0,0,"146",92
5,LINEAR_MOVE,4608,913,"",0300129103
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"18",12
8,UNKNOWN,0,0,"146",92
9,SEPARATOR,0,0,"0,0,0",01000000
10,UNKNOWN,0,0,"65",41
11,UNKNOWN,0,0,"0",00
12,UNKNOWN,0,0,"158",9e
13,UNKNOWN,0,0,"0",00
14,UNKNOWN,0,0,"65",41
15,UNKNOWN,0,0,"0",00
16,UNKNOWN,0,0,"158",9e
17,UNKNOWN,0,0,"0",00
18,UNKNOWN,0,0,"65",41
19,UNKNOWN,0,0,"0",00
20,UNKNOWN,0,0,"158",9e
21,UNKNOWN,0,0,"0",00
22,POINT,0,156,"",61009c00
23,POINT,0,157,"",61009d00
24,POINT,0,156,"",61009c00
25,POINT,0,157,"",61009d00
26,POINT,0,156,"",61009c00
27,POINT,0,157,"",61009d00
28,POINT,0,157,"",61009d00
29,POINT,0,797,"",61001d03
30,POINT,0,1053,"",61001d04
31,POINT,0,1054,"",61001e04
32,POINT,0,1053,"",61001d04
33,POINT,0,1053,"",61001d04
34,POINT,0,1054,"",61001e04
35,POINT,0,1053,"",61001d04
36,POINT,0,1054,"",61001e04
37,POINT,0,1053,"",61001d04
38,POINT,0,1053,"",61001d04
39,POINT,0,1054,"",61001e04
40,POINT,0,1053,"",61001d04
41,POINT,0,1053,"",61001d04
42,POINT,0,1054,"",61001e04
43,POINT,0,1053,"",61001d04
44,POINT,0,1054,"",61001e04
45,POINT,0,925,"",61009d03
46,POINT,0,1181,"",61009d04
47,POINT,0,1182,"",61009e04
48,POINT,0,1181,"",61009d04
49,POINT,0,1181,"",61009d04
50,POINT,0,1182,"",61009e04
51,POINT,0,1181,"",61009d04
52,POINT,0,1182,"",61009e04
53,POINT,0,1181,"",61009d04
54,POINT,0,1181,"",61009d04
55,POINT,0,1182,"",61009e04
56,POINT,0,1181,"",61009d04
57,POINT,0,1181,"",61009d04
58,POINT,0,1182,"",61009e04
59,POINT,0,1181,"",61009d04
60,POINT,0,1182,"",61009e04
61,POINT,0,797,"",61001d03
62,POINT,0,1053,"",61001d04
63,POINT,0,1054,"",61001e04
64,POINT,0,1053,"",61001d04
65,POINT,0,1053,"",61001d04
66,POINT,0,1054,"",61001e04
67,POINT,0,1053,"",61001d04
68,POINT,0,1054,"",61001e04
69,POINT,0,1053,"",61001d04
70,POINT,0,1053,"",61001d04
71,POINT,0,1054,"",61001e04
72,POINT,0,1053,"",61001d04
73,POINT,0,1053,"",61001d04
74,POINT,0,1054,"",61001e04
75,POINT,0,1053,"",61001d04
76,POINT,0,1054,"",61001e04
77,POINT,0,157,"",61009d00
78,POINT,0,157,"",61009d00
79,POINT,0,158,"",61009e00
80,POINT,0,157,"",61009d00
81,POINT,0,157,"",61009d00
82,POINT,0,158,"",61009e00
83,POINT,0,157,"",61009d00
84,POINT,0,158,"",61009e00
85,POINT,0,157,"",61009d00
86,POINT,0,157,"",61009d00
87,POINT,0,158,"",61009e00
88,POINT,0,157,"",61009d00
89,POINT,0,157,"",61009d00
90,POINT,0,158,"",61009e00
91,POINT,0,157,"",61009d00
92,POINT,0,158,"",61009e00
93,POINT,0,33565,"",61001d83
94,POINT,0,33821,"",61001d84
95,POINT,0,33822,"",61001e84
96,POINT,0,33821,"",61001d84
97,POINT,0,33821,"",61001d84
98,POINT,0,33822,"",61001e84
99,POINT,0,33821,"",61001d84
100,POINT,0,33822,"",61001e84
101,POINT,0,33821,"",61001d84
102,POINT,0,33821,"",61001d84
103,POINT,0,33822,"",61001e84
104,POINT,0,33821,"",61001d84
105,POINT,0,33821,"",61001d84
106,POINT,0,33822,"",61001e84
107,POINT,0,33821,"",61001d84
108,POINT,0,33822,"",61001e84
109,POINT,0,33693,"",61009d83
110,POINT,0,33949,"",61009d84
111,POINT,0,33950,"",61009e84
112,POINT,0,33949,"",61009d84
113,POINT,0,33949,"",61009d84
114,POINT,0,33950,"",61009e84
115,POINT,0,33949,"",61009d84
116,POINT,0,33950,"",61009e84
117,POINT,0,33949,"",61009d84
118,POINT,0,33949,"",61009d84
119,POINT,0,33950,"",61009e84
120,POINT,0,33949,"",61009d84
121,POINT,0,33949,"",61009d84
122,POINT,0,33950,"",61009e84
123,POINT,0,33949,"",61009d84
124,POINT,0,33950,"",61009e84
125,POINT,0,33565,"",61001d83
126,POINT,0,33821,"",61001d84
127,POINT,0,33822,"",61001e84
128,POINT,0,33821,"",61001d84
129,POINT,0,33821,"",61001d84
130,POINT,0,33822,"",61001e84
131,POINT,0,33821,"",61001d84
132,POINT,0,33822,"",61001e84
133,POINT,0,33821,"",61001d84
134,POINT,0,33821,"",61001d84
135,POINT,0,33822,"",61001e84
136,POINT,0,33821,"",61001d84
137,POINT,0,33821,"",61001d84
138,POINT,0,33822,"",61001e84
139,POINT,0,33821,"",61001d84
140,POINT,0,33822,"",61001e84
141,POINT,0,158,"",61009e00
142,POINT,0,158,"",61009e00
143,POINT,0,158,"",61009e00
144,POINT,0,158,"",61009e00
145,POINT,0,158,"",61009e00
