Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,6656,780,"",03001a0c03
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"26",1a
4,UNKNOWN,0,0,"12",0c
5,LINEAR_MOVE,6656,780,"",03001a0c03
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"26",1a
8,UNKNOWN,0,0,"12",0c
9,LINEAR_MOVE,6656,780,"",03001a0c03
10,UNKNOWN,0,0,"0",00
11,UNKNOWN,0,0,"26",1a
12,UNKNOWN,0,0,"12",0c
13,LINEAR_MOVE,6656,780,"",03001a0c03
14,UNKNOWN,0,0,"0",00
15,UNKNOWN,0,0,"26",1a
16,UNKNOWN,0,0,"12",0c
17,LINEAR_MOVE,6656,780,"",03001a0c03
18,UNKNOWN,0,0,"0",00
19,UNKNOWN,0,0,"26",1a
20,UNKNOWN,0,0,"12",0c
21,SEPARATOR,0,0,"0,0,0",01000000
22,UNKNOWN,0,0,"65",41
23,UNKNOWN,0,0,"0",00
24,UNKNOWN,0,0,"30",1e
25,UNKNOWN,0,0,"0",00
26,UNKNOWN,0,0,"65",41
27,UNKNOWN,0,0,"0",00
28,UNKNOWN,0,0,"30",1e
29,UNKNOWN,0,0,"0",00
30,UNKNOWN,0,0,"65",41
31,UNKNOWN,0,0,"0",00
32,UNKNOWN,0,0,"30",1e
33,UNKNOWN,0,0,"0",00
34,POINT,0,158,"",61009e00
35,POINT,0,158,"",61009e00
36,POINT,0,158,"",61009e00
37,POINT,0,158,"",61009e00
38,POINT,0,158,"",61009e00
39,POINT,0,158,"",61009e00
40,POINT,0,158,"",61009e00
41,POINT,0,158,"",61009e00
42,POINT,0,158,"",61009e00
43,POINT,0,158,"",61009e00
44,POINT,0,158,"",61009e00
45,POINT,0,33310,"",61001e82
46,POINT,0,33310,"",61001e82
47,POINT,0,33310,"",61001e82
48,POINT,0,33310,"",61001e82
49,POINT,0,33310,"",61001e82
50,POINT,0,33310,"",61001e82
51,POINT,0,33310,"",61001e82
52,POINT,0,33310,"",61001e82
53,POINT,0,33310,"",61001e82
54,POINT,0,33310,"",61001e82
55,POINT,0,33310,"",61001e82
56,POINT,0,33438,"",61009e82
57,POINT,0,33438,"",61009e82
58,POINT,0,33438,"",61009e82
59,POINT,0,33438,"",61009e82
60,POINT,0,33438,"",61009e82
61,POINT,0,33438,"",61009e82
62,POINT,0,33438,"",61009e82
63,POINT,0,33438,"",61009e82
64,POINT,0,33438,"",61009e82
65,POINT,0,33438,"",61009e82
66,POINT,0,33438,"",61009e82
67,POINT,0,33310,"",61001e82
68,POINT,0,33310,"",61001e82
69,POINT,0,33310,"",61001e82
70,POINT,0,33310,"",61001e82
71,POINT,0,33310,"",61001e82
72,POINT,0,33310,"",61001e82
73,POINT,0,33310,"",61001e82
74,POINT,0,33310,"",61001e82
75,POINT,0,33310,"",61001e82
76,POINT,0,33310,"",61001e82
77,POINT,0,33310,"",61001e82
78,POINT,0,33438,"",61009e82
79,POINT,0,33438,"",61009e82
80,POINT,0,33438,"",61009e82
81,POINT,0,33438,"",61009e82
82,POINT,0,33438,"",61009e82
83,POINT,0,33438,"",61009e82
84,POINT,0,33438,"",61009e82
85,POINT,0,33438,"",61009e82
86,POINT,0,33438,"",61009e82
87,POINT,0,33438,"",61009e82
88,POINT,0,33438,"",61009e82
89,POINT,0,33310,"",61001e82
90,POINT,0,33310,"",61001e82
91,POINT,0,33310,"",61001e82
92,POINT,0,33310,"",61001e82
93,POINT,0,33310,"",61001e82
