Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,0,796,"",0300001c03
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"0",00
4,UNKNOWN,0,0,"29",1d
5,LINEAR_MOVE,0,796,"",0300001c03
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"0",00
8,UNKNOWN,0,0,"29",1d
9,LINEAR_MOVE,0,1565,"",0300001d06
10,UNKNOWN,0,0,"0",00
11,UNKNOWN,0,0,"0",00
12,UNKNOWN,0,0,"0",00
13,LINEAR_MOVE,7168,897,"",03001c8103
14,UNKNOWN,0,0,"0",00
15,UNKNOWN,0,0,"28",1c
16,UNKNOWN,0,0,"129",81
17,LINEAR_MOVE,7168,897,"",03001c8103
18,UNKNOWN,0,0,"0",00
19,UNKNOWN,0,0,"28",1c
20,UNKNOWN,0,0,"129",81
21,LINEAR_MOVE,7168,897,"",03001c8103
22,UNKNOWN,0,0,"0",00
23,UNKNOWN,0,0,"28",1c
24,UNKNOWN,0,0,"129",81
25,LINEAR_MOVE,7168,897,"",03001c8103
26,UNKNOWN,0,0,"0",00
27,UNKNOWN,0,0,"28",1c
28,UNKNOWN,0,0,"129",81
29,LINEAR_MOVE,7168,897,"",03001c8103
30,UNKNOWN,0,0,"0",00
31,UNKNOWN,0,0,"28",1c
32,ARC,0,0,"1,0,0",82010000
33,UNKNOWN,0,0,"0",00
34,UNKNOWN,0,0,"65",41
35,UNKNOWN,0,0,"0",00
36,UNKNOWN,0,0,"30",1e
37,UNKNOWN,0,0,"0",00
38,UNKNOWN,0,0,"65",41
39,UNKNOWN,0,0,"0",00
40,UNKNOWN,0,0,"30",1e
41,UNKNOWN,0,0,"0",00
42,UNKNOWN,0,0,"65",41
43,UNKNOWN,0,0,"0",00
44,UNKNOWN,0,0,"30",1e
45,UNKNOWN,0,0,"0",00
46,POINT,0,157,"",61009d00
47,POINT,0,157,"",61009d00
48,POINT,0,158,"",61009e00
49,POINT,0,157,"",61009d00
50,POINT,0,157,"",61009d00
51,POINT,0,158,"",61009e00
52,POINT,0,157,"",61009d00
53,POINT,0,157,"",61009d00
