Command,Type,X,Y,Parameters,Raw_Hex
1,LINEAR_MOVE,0,796,"",0300001c03
2,UNKNOWN,0,0,"0",00
3,UNKNOWN,0,0,"0",00
4,UNKNOWN,0,0,"29",1d
5,LINEAR_MOVE,0,796,"",0300001c03
6,UNKNOWN,0,0,"0",00
7,UNKNOWN,0,0,"0",00
8,UNKNOWN,0,0,"29",1d
9,LINEAR_MOVE,0,796,"",0300001c03
10,UNKNOWN,0,0,"0",00
11,UNKNOWN,0,0,"0",00
12,UNKNOWN,0,0,"29",1d
13,LINEAR_MOVE,0,1565,"",0300001d06
14,UNKNOWN,0,0,"0",00
15,UNKNOWN,0,0,"0",00
16,UNKNOWN,0,0,"0",00
17,LINEAR_MOVE,4352,918,"",0300119603
18,UNKNOWN,0,0,"0",00
19,UNKNOWN,0,0,"17",11
20,UNKNOWN,0,0,"151",97
21,LINEAR_MOVE,4352,918,"",0300119603
22,UNKNOWN,0,0,"0",00
23,UNKNOWN,0,0,"17",11
24,UNKNOWN,0,0,"151",97
25,LINEAR_MOVE,4352,919,"",0300119703
26,UNKNOWN,0,0,"0",00
27,UNKNOWN,0,0,"18",12
28,UNKNOWN,0,0,"151",97
29,SEPARATOR,0,0,"0,0,0",01000000
30,UNKNOWN,0,0,"65",41
31,UNKNOWN,0,0,"0",00
32,UNKNOWN,0,0,"148",94
33,UNKNOWN,0,0,"0",00
34,UNKNOWN,0,0,"65",41
35,UNKNOWN,0,0,"0",00
36,UNKNOWN,0,0,"148",94
37,UNKNOWN,0,0,"0",00
38,UNKNOWN,0,0,"65",41
39,UNKNOWN,0,0,"0",00
40,UNKNOWN,0,0,"148",94
41,UNKNOWN,0,0,"0",00
42,POINT,0,148,"",61009400
43,POINT,0,148,"",61009400
44,POINT,0,148,"",61009400
45,POINT,0,5120,"",61000014
46,POINT,0,5120,"",61000014
47,POINT,0,5120,"",61000014
48,POINT,0,34833,"",61001188
49,POINT,0,35089,"",61001189
50,POINT,0,34833,"",61001188
51,POINT,0,35089,"",61001189
52,POINT,0,34833,"",61001188
53,POINT,0,35089,"",61001189
54,POINT,0,35090,"",61001289
55,POINT,0,5120,"",61000014
56,POINT,0,5120,"",61000014
57,POINT,0,5120,"",61000014
58,POINT,0,34961,"",61009188
59,POINT,0,35217,"",61009189
60,POINT,0,34961,"",61009188
61,POINT,0,35217,"",61009189
62,POINT,0,34961,"",61009188
63,POINT,0,35217,"",61009189
64,POINT,0,35218,"",61009289
65,POINT,0,5120,"",61000014
66,POINT,0,5120,"",61000014
67,POINT,0,5120,"",61000014
68,POINT,0,20,"",61001400
69,POINT,0,20,"",61001400
70,POINT,0,20,"",61001400
71,POINT,0,20,"",61001400
72,POINT,0,20,"",61001400
73,POINT,0,20,"",61001400
74,POINT,0,37888,"",61000094
75,POINT,0,37888,"",61000094
76,POINT,0,37888,"",61000094
77,POINT,0,148,"",61009400
78,POINT,0,148,"",61009400
79,POINT,0,148,"",61009400
80,POINT,0,148,"",61009400
81,SPEED,0,0,"0,0,0",02000000
82,LINEAR_MOVE,33792,795,"",0300841b03
83,UNKNOWN,0,0,"0",00
84,UNKNOWN,0,0,"133",85
85,UNKNOWN,0,0,"27",1b
86,LINEAR_MOVE,33792,795,"",0300841b03
87,UNKNOWN,0,0,"0",00
88,UNKNOWN,0,0,"133",85
89,UNKNOWN,0,0,"27",1b
90,LINEAR_MOVE,34048,7964,"",0300851c1f
91,UNKNOWN,0,0,"0",00
92,UNKNOWN,0,0,"0",00
93,UNKNOWN,0,0,"0",00
